,0
632,0.7393042
633,0.71311396
634,0.756955
635,0.68070424
636,0.80418015
637,0.58265543
638,0.8997219
639,0.33382285
640,0.8228251
641,0.5394007
642,0.9192561
643,0.27463
644,0.737071
645,0.7170502
646,0.7506901
647,0.6924715
648,0.78793246
649,0.61825114
650,0.8732617
651,0.40950015
652,0.89469624
653,0.34859508
654,0.84018326
655,0.4968188
656,0.92496264
657,0.256805
658,0.70616794
659,0.7677307
660,0.659785
661,0.83053446
662,0.5207638
663,0.9234048
664,0.26169494
665,0.7148796
666,0.75415903
667,0.68599176
668,0.7970062
669,0.5986131
670,0.88901925
671,0.36505687
672,0.8576243
673,0.451788
674,0.9163997
675,0.28346172
676,0.75151134
677,0.69094557
678,0.7900972
679,0.6136214
680,0.8772337
681,0.39847058
682,0.8868596
683,0.37125674
684,0.8636732
685,0.43564466
686,0.9096761
687,0.30401242
688,0.7828788
689,0.6289244
690,0.8635004
691,0.43610954
692,0.9098967
693,0.30334345
694,0.78190696
695,0.63095534
696,0.86154765
697,0.4413482
698,0.91227186
699,0.2961181
700,0.771199
701,0.6528691
702,0.8385349
703,0.50095826
704,0.9249966
705,0.25669816
706,0.70597565
707,0.7680239
708,0.65920377
709,0.8312204
710,0.51908433
711,0.92365247
712,0.26091877
713,0.71350867
714,0.756332
715,0.6818875
716,0.80259264
717,0.5862195
718,0.8974949
719,0.34039184
720,0.8307434
721,0.52025265
722,0.9234824
723,0.26145178
724,0.71445054
725,0.75484055
726,0.6847083
727,0.79876655
728,0.59473264
729,0.89179516
730,0.35703725
731,0.8493781
732,0.47335926
733,0.92237407
734,0.26492053
735,0.7205293
736,0.7450572
737,0.70280373
738,0.77282137
739,0.6496035
740,0.84218955
741,0.49175334
742,0.92474836
743,0.25747865
744,0.70737857
745,0.7658783
746,0.66344225
747,0.82616055
748,0.53139144
749,0.92135394
750,0.2681052
751,0.72603184
752,0.73596555
753,0.71898496
754,0.7475687
755,0.698226
756,0.779614
757,0.6357193
758,0.856847
759,0.45384285
760,0.9171172
761,0.28124908
762,0.7479478
763,0.697531
764,0.7806316
765,0.63360983
766,0.8589491
767,0.44827545
768,0.91510093
769,0.2874575
770,0.7578551
771,0.67898977
772,0.8064619
773,0.57750016
774,0.90277684
775,0.32475203
776,0.8113662
777,0.566289
778,0.9087414
779,0.30684268
780,0.7869539
781,0.62033254
782,0.8714243
783,0.41456273
784,0.89799184
785,0.33892924
786,0.829008
787,0.52448887
788,0.9227811
789,0.2636477
790,0.71830916
791,0.7486621
792,0.6962185
793,0.7825438
794,0.6296253
795,0.8628299
796,0.43791145
797,0.91073656
798,0.30079326
799,0.77817166
800,0.63869596
801,0.85382473
802,0.46178982
803,0.91959786
804,0.27356923
805,0.73529774
806,0.7201494
807,0.7456767
808,0.701679
809,0.7745047
810,0.6461945
811,0.8459205
812,0.48225433
813,0.9238348
814,0.26034704
815,0.7124959
816,0.7579283
817,0.67885005
818,0.8066468
819,0.5770806
820,0.9030168
821,0.3240366
822,0.8104364
823,0.56842816
824,0.9076751
825,0.3100638
826,0.7915197
827,0.6105602
828,0.8797729
829,0.39135844
830,0.88132894
831,0.3869765
832,0.87773514
833,0.3970698
834,0.8857999
835,0.37428626
836,0.8665254
837,0.42793876
838,0.9057866
839,0.31574786
840,0.7993893
841,0.5933544
842,0.8927543
843,0.35425296
844,0.8464039
845,0.48101607
846,0.92366666
847,0.2608743
848,0.71343
849,0.75645626
850,0.6816517
851,0.80290985
852,0.5855088
853,0.89794654
854,0.33906266
855,0.8291669
856,0.5241019
857,0.9228507
858,0.26342988
859,0.71792793
860,0.7492775
861,0.69508475
862,0.7841852
863,0.6261835
864,0.8660876
865,0.4291255
866,0.9064142
867,0.3138617
868,0.7968043
869,0.59905666
870,0.88869476
871,0.3659906
872,0.85855347
873,0.44932583
874,0.915499
875,0.28623423
876,0.7559255
877,0.68265796
878,0.8015535
879,0.58854234
880,0.8959929
881,0.34480166
882,0.83587986
883,0.50758344
884,0.9247872
885,0.25735652
886,0.70715934
887,0.76621455
888,0.6627803
889,0.8269596
890,0.52946043
891,0.9217887
892,0.2667489
893,0.72369754
894,0.7398498
895,0.7121467
896,0.758477
897,0.6778017
898,0.8080302
899,0.5739344
900,0.9047748
901,0.3187823
902,0.8034925
903,0.5842016
904,0.8987673
905,0.3366432
906,0.82626384
907,0.53114206
908,0.92141163
909,0.26792526
910,0.72572285
911,0.736482
912,0.71808213
913,0.7490287
914,0.69554347
915,0.7835222
916,0.6275761
917,0.86478007
918,0.43266135
919,0.9082224
920,0.30841163
921,0.7891875
922,0.6155712
923,0.8755802
924,0.40307623
925,0.89024144
926,0.361533
927,0.8540595
928,0.4611749
